,,,,,,,,,,,,,,,
Radiant Plumbing,Air Conditioning,& Electrical,Yes,"901 Reinli St, Austin, TX 78751, United States",+1 512-690-4935,https://radiantplumbing.com/austin/?utm_source=google&utm_medium=businesslisting&utm_campaign=atx-brand_gmb_1023&utm_content=atx-brand,4.8,17779,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWk5dY6fAqGCcgxQTNGIuuJV_7xWrZ_5TYmv--AupVMNH0zbzV4jkGv-QlM91wAz_BxbxZYzI6OnVkYr5E8rYQzywtD-yjZ6iYQsVbGv_fYPYE9l1rlKnw7X09kZ-V6EKsOZERlR=w426-h240-k-no,"Jason and Mike from Radiant Electrical provided an awesome service experience! They were professional, timely, and knowledgeable and understood my vision for …##I’m extremely grateful for Radiant Plumbing & AC. Beginning with their booking and scheduling was very easy. A provider came out the next day, giving me a 45 minute notice prior to arrival. Juan Ramirez came out and was very professional …##Jeff Hicks with Radiant Plumbing was great to work with. He came the same day I inquired about my shower water leak. He took the time to explain why I had a water leak and what needed to be done to fix it. As a first-time homeowner, this …",,,,
Texas Door & Trim,Inc.,"11220 Petal St, Dallas, TX 75238, United States",+1 214-342-9393,http://www.tdt-inc.com/,2.8,24,"Saturday: Closed, Sunday: Closed, Monday: Closed, Tuesday: 7 AM–4 PM, Wednesday: 7 AM–4 PM, Thursday: 7 AM–4 PM, Friday: 7 AM–4 PM",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnbMg_9kqU5aOY8hMveOCts3my7M11bpxc-zUN3mzO-BeXSNTxYG8aJOVXW35q5vaV4N4gVgAU5UOoytfyQD2KcuLuTch165InMAVg2-vX3hvdU8kZ6rJiNu-3NmhnCqswxZ-3N=w426-h240-k-no,"Is there a way to give zero stars?! We built a home 13 months ago and received a door from Texas door and trim and since then it’s been one headache after another. They have come out 6 times for our door that’s bowed, and have done …##If I could leave no stars, I would. I was approached by one of their sales people to start buying my doors and trim from their company. He pursued me vigorously though I was currently happy with his competitor. With horrible judgment …##Leaving our recent (12/2020) unfortunate experience with Texas Door and Trim from the build of our forever home in Keller. Purchased our double 6-pane front door through our builder, and before we were even a year out, the panels in the …",,,,,,
Scratch Removal Specialists,Inc.,"1140 NE 7th Ave Unit 5, Fort Lauderdale, FL 33304, United States",+1 800-806-8807,http://www.srsscratch.com/,5,65,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlgPhGXxdIOuSNWeyF8Hc_O7sebq52_bimg5YFnpu4AwNzxQ4ebh3i7FQwZZeNLVe_e0ACw2MuMHrqtCXUTa3aYVY7UK6kYLnPdGyg9LSKoF2uHmt44yQ1Y2gfZHX0VSypis7buFXr0FbJy=w426-h240-k-no,"Joey was here the past few days at Valencia Parc in Port St. Lucie and he was not only meticulous, but he was extremely thorough and patient. The glass looks amazing and I recommend SRS to anyone that has an issue in their glass that needs to be repaired or sanded or buffed. Excellent work and I highly recommend them to anyone.##I’ve taken all of my Automotive Glass from (4) different vehicles and Aiden has always delivered a superb job hands down. I highly recommend using this company if you seek the Best Results. I’m very pleased that I have found a reliable and affordable company where excellence is always the goal. 👍🏽👍🏽🫵🏽 💯 …##The hard water stains on my exterior windows were horrible. Two different window cleaning companies told me I needed to replace my hurricane windows, which would have cost thousands. Scratch Removal Specialists were able to restore my …",,,,,,
The Door Doctor of South Florida,Inc.,"1188 NE 47th St, Oakland Park, FL 33334, United States",+1 954-491-0039,https://www.thedoordoctor.net/,4.9,331,"Sunday: Closed, Monday: Closed, Tuesday: 8 AM–4 PM, Wednesday: 8 AM–4 PM, Thursday: 8 AM–4 PM, Friday: 8 AM–4 PM, Saturday: Closed",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnde44P8nDW6eSl9A0LRr3UPe_KzQOWBeb4Y0vkktS8UU3vkujrgrBZoOaYqDToLToPsf5V7aZwS_d4muNjazweMbaJrmhZ8Ordp7IIiyJpwkLqfu02kZjApecsDCKUViL9ug4aAw=w408-h306-k-no,"Gary in sales was friendly and upfront and expedited the process and provided information for financing. The gentleman were efficient and knowledgeable, especially the lead worker. The young worker was very pleasant in his demeanor.##I found this company through a GOOGLE search. I chose them based the the reviews and the amount of stars. I called early this morning and the service technician was at my home by the early afternoon. Great guy, Kenny. Issue was fixed in …##Absolutely amazing customer service! Cindy had a technician in my place in 30 minutes. The technician, Andy, was able to identify the issues with the garage door immediately upon his arrival. He completed two repairs in less than 30 …",,,,,,
East Coast Windows & Doors,Inc.,"1711 SW 7th Ave, Pompano Beach, FL 33060, United States",+1 954-946-3697,https://eastcoastwindows.com/,4.5,110,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkUjNiFebrV6gxGUpPMtyWEOefxW_YYB_bY-scXOtt-CHmPJxhSe-xHZ7I1KGFe5yQ3loMcv3ZVdXCKl1ysm07xr0deUL1zAYaoFtkIz1ppQRZFLcW7VQ57UZbiWF5bt5yM6jjfqAPpSMd2=w408-h612-k-no,"I had such a good experience from the sales person Justin Trainer who was knowledgeable and very honest. The quick responses to emails and good help from Stephanie. The experience at the office picking out the windows and doors. A special …##Everyone at East Coast Windows and Doors was a pleasure to work with. Staff was Highly professional, timelines were spot on, installation crew was excellent, did a beautiful job in two days, left everything neat and clean. All the paperwork …##From start to finish",the service was absolutely top-notch! If you need new windows or doors,"definitely reach out to them for a quote. They go above and beyond to earn your business.""""",,,,
Austin Retrofit,Inc.,"1834 Ferguson Ln Bldg 1300, Austin, TX 78754, United States",+1 512-926-6665,http://www.austinretrofit.com/,4.5,30,"Saturday: Closed, Sunday: Closed, Monday: Closed, Tuesday: 8 AM–5 PM, Wednesday: 8 AM–5 PM, Thursday: 8 AM–5 PM, Friday: 8 AM–5 PM",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlxHAkQJRKfh0qBHhb6MpXaC_6bZ994LhU8dZwDpFzJo6R6nx4QuzB8zvCXExAkbXG3RNTpqXnyinGeJI8SdP0DQKQ-dP8EsR6GrINCmWWc_xR-QETpwGHb6b8i5igpgYN-da39lVaIWtYa=w408-h306-k-no,"I want to recommend Austin Retrofit for all your window and door needs. Especially if you want excellent customer service. Efficient installers who call 30 minutes ahead, show up on time, respect your property and leave no trace they were there except for a clean new window or door, and are polite and professional .##Our experience with Austin Retrofit was great. John, Mike, Rodrigo, and the installation crew were all true professionals and amazing to work with. Definitely will use these guys again in the future!##Our new windows are wonderful! The rooms are noticeably quieter and more comfortable. The new windows operate correctly and look great both from the inside and outside. The installation team did an expert job and we've already been …",,,,,,
Creative Windows and Doors,Inc.,"2421 Marina Bay Dr W suite 13-107, Fort Lauderdale, FL 33312, United States",+1 305-218-2841,,4.3,3,"Sunday: Closed, Monday: 8 AM–5 PM, Tuesday: 8 AM–5 PM, Wednesday: 8 AM–5 PM, Thursday: 8 AM–5 PM, Friday: 8 AM–5 PM, Saturday: Closed",https://www.google.com/maps/vt/pb=!1m4!1m3!1i17!2i36345!3i55688!2m3!1e0!2sm!3i793559766!2m2!1e2!2sspotlit!3m8!2sen!3sph!5e1105!12m4!1e68!2m2!1sset!2sRoadmap!4e0!5m1!1e0!23i1368782!23i1368785!23i4861626!23i10211310!23i1381938!23i47054629!23i47029525!23i72272233!23i72272234!23i72272236!23i72458815!23i94243289!23i94255677!23i72860224!23i10211515!23i94260020!23i100799651!23i72549439!27m15!299174093m14!14m13!1m8!1m2!1y9860913563660247961!2y1166371562866519408!2s%2Fg%2F1v2f19j1!4m2!1x260918035!2x3493246800!15sgcid%3Awindow_installation_service!2b0!3b0!6b0!8b0,"The positive experience I had with this company is incredible. Very professional and especially Mr. Salazar. I am very happy with my windows, they complied with everything offered without …##Was refered to Mr Salazar owner of Creative Windows and from start to finish they were very professional. Permits and engineering were no problems. The installers were the greatest.",,,,,,
Windows of Texas,Inc.,"312 W Northwest Hwy, Grapevine, TX 76051, United States",+1 682-201-5645,https://windowsoftexas.com/,4.8,21,"Saturday: 9 AM–1 PM, Sunday: Closed, Monday: 8 AM–6 PM, Tuesday: 8 AM–6 PM, Wednesday: 8 AM–6 PM, Thursday: 8 AM–6 PM, Friday: 8 AM–6 PM",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWleH7P0cQswfly5h3ZH5CccI540MdQpXXPdKCLvpkffw-n8pgw8mqEeZr9xbVv1Jq9JO9gBLjCF1BX8Tm5gaoRVibWiYMOJimdKyhuA8z2t9ksvkHN2ZF8WylpaltIJpJBKqhGV=w408-h306-k-no,"We couldn’t be happier with our new window installation! Mike is as a pleasure to work with and even walked me through a suggested color change to match the exterior of the home. The window is oversize and great care was taken during the …##Mike and Steve did an amazing job we could not have asked for more. The difference in comfort after the new windows were replaced was instant. 200 percent thrilled! Don&Debbie G. Thank you##We are very happy with our new windows and the install guys were amazing. They were very kind and took special care of our home during the install. Special note they also played great music while working. Thank you Mike, Steve, and Ryan",,,,,,
Xtreme Auto Detail,Inc.,"4509 Hudson Bend Rd #200, Austin, TX 78734, United States",,https://xadetail.com/,4.8,232,"Saturday: Closed, Sunday: Closed, Monday: Closed, Tuesday: 7 AM–5 PM, Wednesday: 7 AM–5 PM, Thursday: 7 AM–5 PM, Friday: 7 AM–5 PM",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWle8EwGdOG_upXtioIbtX9WTNtnROyOHK5Qf1fUDsluxHEFoX-J6zQIRedZQne44uJi76kHHFUeePoWEf4r8cwuW0zdBdpjcRCTleKz4rdR-pFP96gOjiWU6k5onfU-b7Q-yOEmDEomgsJr=w408-h306-k-no,"Daniel and Robert did an awesome job on my Porsche 911. Everything was smooth from start to finish. They took great care of my car and the attention to detail didn’t go unnoticed. The PPF and tint look like the best install I’ve ever seen. …##Just had my Tesla Model Y Performance tinted at Xtreme Auto Detail and couldn't be happier with the result. The precision of the work really stands out — clean, even lines all around, no bubbling, no gaps, and a perfect finish on all the …##I recently had my McLaren protected with PPF and window tint, and I couldn’t be happier with the results. The attention to detail, quality of workmanship, and overall professionalism were outstanding from start to finish. …",,,,,,
SunStorm Construction,Inc.,"501 E Las Olas Blvd Ste 200 & 300, Fort Lauderdale, FL 33301, United States",+1 954-398-5060,https://www.sunstormconstruction.com/,5,7,"Sunday: 9 AM–6 PM, Monday: 9 AM–6 PM, Tuesday: 9 AM–6 PM, Wednesday: 9 AM–6 PM, Thursday: 9 AM–6 PM, Friday: 9 AM–6 PM, Saturday: 9 AM–6 PM",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkUr1ORDrp2GJIdmvBa3ynfhZTV6xXFymaQ4LryoAyiKHJcQd3lAFosrkv-l9VFTurnDEsGhNTnRxzmBvQZm60Eq1ha4Dt8x1i7jww4xvkaS66ymcSu-nGWSLoTm7kzaY34DwSSs1-RQUHF=w426-h240-k-no,"Ricky installed our impact windows and doors in Fort Lauderdale and the quality is outstanding. Professional, efficient, and the difference in energy savings is noticeable. Best investment we made for our home. Highly recommend Sunstorm Construction!”##A huge storm came through my city last year and I was so thankful that I worked with Sunstorm on my impact windows. They did an awesome job and their attention to detail was top notch.##Best price I called three people and he beat all the prices did it in the time frame he told me amazing job highly recommended",,,,,,
All American Windows and Doors,Inc.,"6001 Powerline Rd Ste B, Fort Lauderdale, FL 33309, United States",+1 954-786-8525,http://www.aawimpact.com/,3.6,77,"Sunday: Closed, Monday: 8:30 AM–5 PM, Tuesday: 8:30 AM–5 PM, Wednesday: 8:30 AM–5 PM, Thursday: 8:30 AM–5 PM, Friday: 8:30 AM–5 PM, Saturday: Closed",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWm4b3_fcr7ZHWMVEQwnXxQrtRYXVns6nH8Q0KCu0n2-ciDvQkGz5BDElgzW1oJ1HA28Z9lh18BG2i4HH2XRFMOtP7_JPfVzBvI7kH-D_3de1US76oJcI9gsG_MiH2lY0y6L0_ai=w408-h405-k-no,"All American Window and Doors came through for me so quickly and professionally. I counted the company and within an hour, Ashley from Sales Department contacted me to arrange for technician, Derek to come out for assessment and …##Used this company by referral. Was happy at first till 4 yrs latter while washing the huge sliding door, water poured inside my Condo under my vinyl flooring. Had them come out and the maintenance men said the door was improperly sealed. I …##I had 2 cracked windows and needed to replace them immediately as I was unaware they were cracked and couldn't close selling contract until they were replaced... Called them and they came within a few hours. They said I'd receive a text …",,,,,,
Top Notch Roofing & Exteriors,INC.,"7703 Forest Hills Rd, Loves Park, IL 61111, United States",+1 815-721-4666,http://topnotchroofing.net/,4.9,115,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnpjeq2CinRxJH2pT49xbAuRxdw8nZVH9Dy2Iw20Z3mPDvUV_CPPzVimYOBSk3Q0dXDzCQlsbuXagcH8oqcxtxmOwnYTDFQ3GCkLq4rW2n8WWGh6ZSpOdzl2nkSlKkOBuIoQptu7UQbplNy=w426-h240-k-no,"Excellent customer service with Fabian! He made the decision making process go smoothly and he was very patient with my numerous questions. He responded quickly to my texts and calls and I appreciate his attention to detail. I love my new siding!##Fabian and the Top Notch crew were fantastic! We are so incredibly happy with our new roof! Working with Fabian was flawless! He answered every question and was very patient with us! If I could give 10 stars, I would!##We had missing siding and damage from a recent storm. I called Top Notch and Fabian responded immediately to my call. They did a fantastic job in repairing and replacing my siding and shingles. The price was very reasonable. Thank you!",,,,,,
Jim Connelly Masonry,Inc.,"7804 Thomas Springs Rd B, Austin, TX 78736, United States",+1 512-288-2368,https://www.jcmiaustin.com/,5,10,"Saturday: 7:30 AM–12 PM, Sunday: Closed, Monday: 7:30 AM–6 PM, Tuesday: 7:30 AM–6 PM, Wednesday: 7:30 AM–6 PM, Thursday: 7:30 AM–6:30 PM, Friday: 7:30 AM–6:30 PM",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlJc_ryX0ZqRaomek2zGHOg_5lI8L7DpR9I9MnYwRFesviQQO1k59-od9EP156QvW11lBiHt6YuMMx9m6ALHpQckEObVzNmtZg3VKtqlkwNWfRSLYnYdlWDJ7DjJiZhrY1y-CJtqw=w408-h306-k-no,"I had been trying to have multiple repairs done at my residence - some high elevation 'remove and replace' window surrounds, some stucco and underpinning, and extensive 'freeze and thaw' damage on elevated concrete porches. I contacted many …##Jim is the best contractor I’ve hired in Austin. Excellent quality, thorough, fair pricing, honest, timely. It’s hard to find a contractor as great as him nowadays.##Contacted Jim for a smallish backyard job. He showed up and measured, and had a quote in my inbox that evening. His crew showed up on time and finished early and it turned out looking even …",,,,,,
Bliss Window & Screen,Inc.,"815 N Andrews Ave, Fort Lauderdale, FL 33311, United States",+1 954-763-5086,https://www.blisswindow.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-fort-lauderdale&utm_id=local&utm_content=fort-fauderdale,4.4,77,"Sunday: Closed, Monday: 8 AM–5 PM, Tuesday: 8 AM–5 PM, Wednesday: 8 AM–5 PM, Thursday: 8 AM–5 PM, Friday: 8 AM–5 PM, Saturday: Closed",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmCeww24Jood3WB4eX73b-6Ga9UR5RZNXUjDjI4sgBgQwEBGPQo68-_e6rbNc-yySzuy5AAWJ8KbLz5K6aH39i78hwJajaO3pL7xxV4md491JbOdoc3K8TC_y4AMm39C9FOC3Xc=w485-h240-k-no,"I had an excellent experience with Bliss Window & Screen and especially want to thank Lynne for her kindness, responsiveness, and professionalism. …##Fantastic service. They repaired a window when five other companies couldn't or wouldn't . great prices. great service. can't recommend them enough.##I’ve been meaning to write this for a month now, but we had some work done last month on the 15th and the 16th and The representative Lonie Was absolutely amazing. You are lucky in this day and age and in this location to have someone like that treat him well.",,,,,,
Ripley's Blind & Drapery,L.L.C.,"12400 State Hwy 71 #240, Austin, TX 78738, United States",+1 512-402-1999,https://ripleysblinds.com/,4,14,"Saturday: Closed, Sunday: Closed, Monday: 9 AM–5 PM, Tuesday: 9 AM–5 PM, Wednesday: 9 AM–5 PM, Thursday: 9 AM–5 PM, Friday: 9 AM–5 PM",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnXAX7tnudvb78hrM3PR9MO6POoMRW4z6J-FWvivSUmvvMue4IC8_JS7LxK1DP9bSor8O03gYPaKODK0omKp6yzzG9COzlyDg8v2Ceya4WlfbEu-WPTfkaevOVQUHzLqsi1MLGfdQ=w408-h345-k-no,"This company fitted a retractable awning in 2021 for my property in Austin. Of note - the company had come out to check the mechanism in September 2025 as it wasn't functioning properly. The awning fixture has since catastrophically failed …##VERY HAPPY!! Our new drapes and Honeycomb remote controlled shades are perfect. From the very start of the process to buy new window coverings, I have been pleased. Laurie listened and asked good questions about what I needed and what I …##I received quotes from 3 different vendors. I chose Ripleys Blinds as the product was the highest quality for the most reasonable price and the timelines were the shortest for install. I can't say enough great things about the service and …",,,,,,
Affordable Screens & Glass,L.L.C.,"16238 N FM 620 Ste F-362, Austin, TX 78717, United States",+1 512-358-1560,,4.7,14,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmyNIaj0jfUcYQvOp4Bs8BcTbnVQBzzon4cH9x75RHuiUk7OMEhAy68JJmnWJ9WmjDJIpB7dylz17s3nsFe3M4-4WHGwHRX3KiWY3atuHv8N1aGkdWCvpomyLClxKtrriXQ2zxC=w427-h240-k-no,"Had our kitchen windows replaced, the guys who came over were well prepared and professional. They were timely, orderly, and cleaned up everything very nicely. They even noticed an error on the invoice and called the office and got my price LOWERED! They didn't have to do that! Super impressed and super satisfied.##Fast, easy and affordable. We have recommended them for our own business in the past as well. They do a great job and very responsive.##Incredible company - so great to work with! I just moved to Austin and had a handful of upgrades in mind for my house, but the most urgent was new screens (the original ones were warped and I couldn't open my windows without risking bugs …",,,,,,
